hostname	config	avg_tokens_per_second	stddev_tokens_per_second	raw_timings
wall	gpu (cuda, -t 11, -ngl 20)	51.596	0.1074	[["0.6500", "19.4300", "19.4300"], ["0.6500", "19.3200", "19.3200"], ["0.6500", "19.3500", "19.3500"], ["0.6500", "19.4000", "19.4000"], ["0.6500", "19.4100", "19.4100"]]
wall	gpu (cuda, -t 16, -ngl 20)	53.796	2.631	[["0.6700", "19.7500", "19.7500"], ["0.6700", "17.5900", "17.5900"], ["0.6600", "17.5400", "17.5400"], ["0.6600", "19.2300", "19.2300"], ["0.6500", "19.0500", "19.0500"]]
wall	gpu (cuda, -t 17, -ngl 20)	0.602	0.0376	[["0.6700", "1697.4500", "1697.4500"], ["0.6700", "1742.1500", "1742.1500"], ["0.6600", "1582.3500", "1582.3500"], ["0.6500", "1774.5400", "1774.5400"], ["0.6600", "1526.0500", "1526.0500"]]
wall	gpu (cuda, -t 1, -ngl 30)	46.922	0.2293	[["0.6200", "21.4800", "21.4800"], ["0.6200", "21.3400", "21.3400"], ["0.6300", "21.3200", "21.3200"], ["0.6200", "21.1700", "21.1700"], ["0.6200", "21.2500", "21.2500"]]
wall	gpu (cuda, -t 6, -ngl 30)	95.98	0.9258	[["0.6400", "10.3900", "10.3900"], ["0.6200", "10.4300", "10.4300"], ["0.6200", "10.3900", "10.3900"], ["0.6300", "10.2900", "10.2900"], ["0.6400", "10.6000", "10.6000"]]
wall	gpu (cuda, -t 11, -ngl 30)	93.122	1.0301	[["0.6400", "10.7300", "10.7300"], ["0.6300", "10.8900", "10.8900"], ["0.6300", "10.8600", "10.8600"], ["0.6300", "10.6100", "10.6100"], ["0.6400", "10.6100", "10.6100"]]
wall	gpu (cuda, -t 16, -ngl 30)	89.596	6.0236	[["0.6800", "10.4500", "10.4500"], ["0.6600", "10.9400", "10.9400"], ["0.6500", "12.8000", "12.8000"], ["0.6600", "10.8000", "10.8000"], ["0.6700", "11.0900", "11.0900"]]
wall	gpu (cuda, -t 17, -ngl 30)	3.498	0.3616	[["0.6600", "280.7500", "280.7500"], ["0.6600", "300.5400", "300.5400"], ["0.6600", "299.8500", "299.8500"], ["0.6500", "240.3500", "240.3500"], ["0.6800", "322.7500", "322.7500"]]
wall	gpu (cuda, -t 1, -ngl 33)	131.688	0.8728	[["0.6100", "7.5000", "7.5000"], ["0.6100", "7.6100", "7.6100"], ["0.6100", "7.5900", "7.5900"], ["0.6100", "7.6400", "7.6400"], ["0.6100", "7.6300", "7.6300"]]
wall	gpu (cuda, -t 6, -ngl 33)	132.316	0.8587	[["0.6200", "7.5200", "7.5200"], ["0.6100", "7.6000", "7.6000"], ["0.6000", "7.6300", "7.6300"], ["0.6000", "7.5000", "7.5000"], ["0.6100", "7.5400", "7.5400"]]
wall	gpu (cuda, -t 11, -ngl 33)	131.616	0.429	[["0.6100", "7.5700", "7.5700"], ["0.6200", "7.6400", "7.6400"], ["0.6100", "7.6100", "7.6100"], ["0.6200", "7.5800", "7.5800"], ["0.6200", "7.5900", "7.5900"]]
wall	gpu (cuda, -t 16, -ngl 33)	131.69	0.9256	[["0.6100", "7.7000", "7.7000"], ["0.6100", "7.5500", "7.5500"], ["0.6200", "7.5700", "7.5700"], ["0.6200", "7.5700", "7.5700"], ["0.6200", "7.5800", "7.5800"]]
wall	gpu (cuda, -t 17, -ngl 33)	131.592	1.3218	[["0.6200", "7.5700", "7.5700"], ["0.6100", "7.4800", "7.4800"], ["0.6100", "7.6600", "7.6600"], ["0.6100", "7.5900", "7.5900"], ["0.6000", "7.7000", "7.7000"]]
fusion	cpu (-t 1)	2.636	0.1397	[["0.8400", "379.7100", "379.7100"], ["0.8500", "371.3500", "371.3500"], ["0.8600", "421.7500", "421.7500"], ["0.8800", "365.3100", "365.3100"], ["0.8500", "363.3900", "363.3900"]]
fusion	cpu (-t 2)	4.8	0.3145	[["0.9000", "196.2700", "196.2700"], ["0.9100", "226.0500", "226.0500"], ["0.9100", "196.0300", "196.0300"], ["0.8900", "201.5600", "201.5600"], ["0.9000", "226.0500", "226.0500"]]
fusion	cpu (-t 3)	6.306	0.3053	[["0.9100", "165.6600", "165.6600"], ["0.9100", "164.1600", "164.1600"], ["0.9200", "145.1300", "145.1300"], ["0.9200", "160.8600", "160.8600"], ["0.9100", "158.8800", "158.8800"]]
fusion	cpu (-t 4)	7.12	0.6738	[["0.9400", "128.7300", "128.7300"], ["0.8800", "131.1800", "131.1800"], ["1.1500", "132.1100", "132.1100"], ["0.8400", "164.6000", "164.6000"], ["0.8600", "152.3500", "152.3500"]]
fusion	cpu (-t 5)	7.264	0.3359	[["0.9200", "151.0700", "151.0700"], ["0.8200", "133.7600", "133.7600"], ["0.8300", "133.4600", "133.4600"], ["0.8300", "138.0800", "138.0800"], ["0.8700", "133.5100", "133.5100"]]
fusion	cpu (-t 6)	7.232	0.898	[["0.8500", "151.8400", "151.8400"], ["0.9500", "162.0800", "162.0800"], ["0.8900", "147.0400", "147.0400"], ["0.9200", "122.1300", "122.1300"], ["0.8600", "118.8400", "118.8400"]]
fusion	cpu (-t 7)	5.888	0.8171	[["0.9400", "159.1400", "159.1400"], ["0.9900", "152.2700", "152.2700"], ["0.9500", "218.7000", "218.7000"], ["0.9300", "149.3100", "149.3100"], ["1.0000", "187.8900", "187.8900"]]
fusion	cpu (-t 8)	3.6	3.7805	[["0.9300", "2187.2300", "2187.2300"], ["0.9300", "1785.4800", "1785.4800"], ["0.8100", "121.6200", "121.6200"], ["0.8400", "121.4300", "121.4300"], ["0.9100", "1907.1000", "1907.1000"]]
fusion	cpu (openblas, -t 1)	2.64	0.074	[["0.8700", "389.9300", "389.9300"], ["0.8600", "365.7700", "365.7700"], ["0.8800", "367.2700", "367.2700"], ["0.8400", "380.6600", "380.6600"], ["0.8800", "390.3800", "390.3800"]]
fusion	cpu (openblas, -t 2)	4.904	0.2436	[["0.9000", "214.1800", "214.1800"], ["0.8800", "219.7000", "219.7000"], ["0.9100", "196.7000", "196.7000"], ["0.9000", "194.8700", "194.8700"], ["0.8800", "196.5500", "196.5500"]]
fusion	cpu (openblas, -t 3)	6.202	0.2089	[["0.9000", "157.5200", "157.5200"], ["0.8800", "155.4000", "155.4000"], ["0.8900", "160.8000", "160.8000"], ["0.8700", "162.1900", "162.1900"], ["0.9100", "171.4200", "171.4200"]]
fusion	cpu (openblas, -t 4)	6.17	0.2055	[["0.8400", "165.5600", "165.5600"], ["0.9300", "152.0500", "152.0500"], ["1.0600", "164.8100", "164.8100"], ["0.8700", "164.5400", "164.5400"], ["0.8300", "164.5500", "164.5500"]]
fusion	cpu (openblas, -t 5)	7.382	0.1182	[["0.9100", "133.8700", "133.8700"], ["0.9700", "139.6700", "139.6700"], ["0.8500", "134.1600", "134.1600"], ["0.8100", "133.8300", "133.8300"], ["0.8200", "135.8800", "135.8800"]]
fusion	cpu (openblas, -t 6)	7.566	0.6895	[["0.8800", "132.2100", "132.2100"], ["0.8500", "124.2900", "124.2900"], ["0.8600", "117.6000", "117.6000"], ["0.8800", "154.1800", "154.1800"], ["0.8800", "138.3300", "138.3300"]]
fusion	cpu (openblas, -t 7)	5.976	0.7129	[["1.0000", "204.6600", "204.6600"], ["0.8800", "153.0700", "153.0700"], ["0.9600", "181.6800", "181.6800"], ["0.9300", "164.5800", "164.5800"], ["0.8800", "145.2600", "145.2600"]]
fusion	cpu (openblas, -t 8)	1.394	1.1267	[["0.9100", "1041.9100", "1041.9100"], ["0.9000", "1446.5700", "1446.5700"], ["0.9000", "976.8300", "976.8300"], ["0.9000", "1501.7100", "1501.7100"], ["0.8900", "275.2000", "275.2000"]]
steamdeck	cpu (-t 1)	3.642	0.1416	[["1.0400", "275.4700", "275.4700"], ["1.0000", "274.0900", "274.0900"], ["1.1100", "271.1800", "271.1800"], ["0.9700", "294.1800", "294.1800"], ["0.8900", "260.4900", "260.4900"]]
steamdeck	cpu (-t 2)	7.386	0.1288	[["0.8800", "132.0200", "132.0200"], ["0.8900", "137.7600", "137.7600"], ["0.9000", "137.4900", "137.4900"], ["0.8800", "136.5900", "136.5900"], ["0.8800", "133.1000", "133.1000"]]
steamdeck	cpu (-t 3)	10.138	0.1141	[["0.9000", "97.4700", "97.4700"], ["0.8900", "97.5500", "97.5500"], ["0.9000", "99.6800", "99.6800"], ["0.9100", "98.3000", "98.3000"], ["1.0000", "100.2300", "100.2300"]]
steamdeck	cpu (-t 4)	11.946	0.32	[["0.9200", "88.1300", "88.1300"], ["0.9200", "82.8900", "82.8900"], ["0.9300", "82.3700", "82.3700"], ["0.9200", "83.9900", "83.9900"], ["0.9300", "81.5300", "81.5300"]]
steamdeck	cpu (-t 5)	9.25	0.046	[["0.9200", "107.8200", "107.8200"], ["0.9300", "107.6600", "107.6600"], ["0.9200", "107.9400", "107.9400"], ["0.9100", "107.8200", "107.8200"], ["0.9200", "109.1700", "109.1700"]]
steamdeck	cpu (-t 6)	10.498	0.0997	[["0.9300", "94.7000", "94.7000"], ["0.9500", "94.9400", "94.9400"], ["0.9400", "94.9200", "94.9200"], ["0.9300", "94.6900", "94.6900"], ["0.9200", "97.0600", "97.0600"]]
steamdeck	cpu (-t 7)	10.976	0.3583	[["0.9400", "88.7300", "88.7300"], ["0.9500", "86.8500", "86.8500"], ["0.9400", "93.1500", "93.1500"], ["0.9700", "94.9200", "94.9200"], ["0.9700", "92.4400", "92.4400"]]
steamdeck	cpu (-t 8)	10.892	0.2282	[["0.9500", "93.2200", "93.2200"], ["0.9300", "92.4200", "92.4200"], ["0.9700", "93.4200", "93.4200"], ["0.9400", "88.2700", "88.2700"], ["0.9400", "91.8900", "91.8900"]]
steamdeck	cpu (openblas, -t 1)	3.816	0.0422	[["0.8500", "259.3400", "259.3400"], ["0.8600", "261.8700", "261.8700"], ["0.8500", "267.5600", "267.5600"], ["0.8700", "262.3000", "262.3000"], ["0.8600", "259.5700", "259.5700"]]
steamdeck	cpu (openblas, -t 2)	7.526	0.0504	[["0.8600", "133.0100", "133.0100"], ["0.8500", "132.9100", "132.9100"], ["0.8600", "132.3400", "132.3400"], ["0.8500", "131.7000", "131.7000"], ["0.8700", "134.4500", "134.4500"]]
steamdeck	cpu (openblas, -t 3)	10.07	0.1431	[["0.8600", "99.1100", "99.1100"], ["0.8600", "97.5400", "97.5400"], ["0.8700", "101.9000", "101.9000"], ["0.8800", "99.0700", "99.0700"], ["0.8600", "98.9100", "98.9100"]]
steamdeck	cpu (openblas, -t 4)	12.12	0.078	[["0.8900", "82.5700", "82.5700"], ["0.8800", "82.7300", "82.7300"], ["0.8700", "82.3800", "82.3800"], ["0.9100", "83.2900", "83.2900"], ["0.9000", "81.6600", "81.6600"]]
steamdeck	cpu (openblas, -t 5)	9.278	0.0453	[["0.8800", "108.3200", "108.3200"], ["0.8700", "107.2500", "107.2500"], ["0.8800", "107.9000", "107.9000"], ["0.8800", "107.0100", "107.0100"], ["0.8900", "108.3900", "108.3900"]]
steamdeck	cpu (openblas, -t 6)	10.62	0.0434	[["0.9100", "94.5400", "94.5400"], ["0.9000", "94.0400", "94.0400"], ["0.8800", "93.8300", "93.8300"], ["0.8900", "93.7500", "93.7500"], ["0.9000", "94.7200", "94.7200"]]
steamdeck	cpu (openblas, -t 7)	10.87	1.015	[["0.9200", "88.1000", "88.1000"], ["0.9000", "112.9500", "112.9500"], ["0.9300", "87.6000", "87.6000"], ["0.9500", "86.8200", "86.8200"], ["0.9100", "89.1800", "89.1800"]]
steamdeck	cpu (openblas, -t 8)	10.346	1.8268	[["0.9100", "148.6100", "148.6100"], ["0.9100", "89.6900", "89.6900"], ["0.9000", "91.9000", "91.9000"], ["0.9100", "88.6300", "88.6300"], ["0.9200", "85.5300", "85.5300"]]
elpis	cpu (-t 1)	4.484	0.0372	[["0.7800", "219.6600", "219.6600"], ["0.8100", "223.1900", "223.1900"], ["0.8300", "224.4200", "224.4200"], ["0.8300", "222.8600", "222.8600"], ["0.8400", "225.4700", "225.4700"]]
elpis	cpu (-t 2)	8.16	0.2489	[["0.8900", "129.8800", "129.8800"], ["0.8300", "120.0600", "120.0600"], ["0.8400", "122.0000", "122.0000"], ["0.8000", "118.7400", "118.7400"], ["0.8400", "122.7700", "122.7700"]]
elpis	cpu (-t 3)	11.85	0.4151	[["0.8600", "82.4200", "82.4200"], ["0.8300", "81.3800", "81.3800"], ["0.8800", "82.5400", "82.5400"], ["0.8500", "88.9400", "88.9400"], ["0.8100", "87.2100", "87.2100"]]
elpis	cpu (-t 4)	14.162	1.6484	[["0.8300", "63.0200", "63.0200"], ["0.8300", "68.7600", "68.7600"], ["0.8200", "68.5200", "68.5200"], ["0.8100", "67.5800", "67.5800"], ["0.8900", "90.8500", "90.8500"]]
elpis	cpu (-t 5)	16.758	1.9242	[["0.9200", "74.2700", "74.2700"], ["0.8400", "55.3300", "55.3300"], ["0.8400", "54.8100", "54.8100"], ["0.8500", "54.5100", "54.5100"], ["0.8500", "63.8000", "63.8000"]]
elpis	cpu (-t 6)	16.584	2.9223	[["0.8600", "72.2300", "72.2300"], ["0.8400", "49.9400", "49.9400"], ["0.9500", "66.7100", "66.7100"], ["0.8900", "72.2700", "72.2700"], ["0.9600", "49.4200", "49.4200"]]
elpis	cpu (-t 7)	15.406	0.7612	[["0.9300", "63.1000", "63.1000"], ["0.9400", "63.3000", "63.3000"], ["0.9200", "64.7600", "64.7600"], ["0.9100", "71.8100", "71.8100"], ["0.8400", "62.4500", "62.4500"]]
elpis	cpu (-t 8)	16.126	1.4694	[["0.8400", "56.1500", "56.1500"], ["1.0000", "74.2500", "74.2500"], ["0.9600", "59.1300", "59.1300"], ["1.1100", "63.0900", "63.0900"], ["0.9400", "60.2700", "60.2700"]]
elpis	cpu (-t 9)	17.252	2.1355	[["0.9400", "58.2900", "58.2900"], ["0.8900", "52.2200", "52.2200"], ["0.9100", "55.7000", "55.7000"], ["0.9000", "53.2300", "53.2300"], ["0.9400", "75.7000", "75.7000"]]
elpis	cpu (-t 10)	18.82	1.2586	[["0.8800", "54.4400", "54.4400"], ["0.8700", "60.4500", "60.4500"], ["0.8400", "50.9400", "50.9400"], ["0.8400", "50.2900", "50.2900"], ["0.8400", "50.8200", "50.8200"]]
elpis	cpu (-t 11)	16.702	2.1042	[["0.8400", "62.8300", "62.8300"], ["0.8100", "75.3800", "75.3800"], ["0.8200", "58.1000", "58.1000"], ["0.8200", "57.4400", "57.4400"], ["0.8700", "50.7600", "50.7600"]]
elpis	cpu (-t 12)	10.028	5.0389	[["0.8300", "90.7800", "90.7800"], ["0.7900", "62.9100", "62.9100"], ["0.7900", "67.5400", "67.5400"], ["0.7900", "206.5500", "206.5500"], ["0.8000", "280.3100", "280.3100"]]
elpis	cpu (openblas, -t 1)	4.514	0.012	[["0.7300", "221.3200", "221.3200"], ["0.7400", "221.0900", "221.0900"], ["0.7400", "222.2100", "222.2100"], ["0.7600", "222.1200", "222.1200"], ["0.7400", "220.8200", "220.8200"]]
elpis	cpu (openblas, -t 2)	8.526	0.1758	[["0.7500", "116.9300", "116.9300"], ["0.7700", "113.8300", "113.8300"], ["0.7700", "120.4700", "120.4700"], ["0.7800", "119.5400", "119.5400"], ["0.7900", "115.9900", "115.9900"]]
elpis	cpu (openblas, -t 3)	11.69	0.2253	[["0.7700", "83.7900", "83.7900"], ["0.7700", "85.7600", "85.7600"], ["0.7800", "83.8500", "83.8500"], ["0.7800", "88.3000", "88.3000"], ["0.7800", "86.1900", "86.1900"]]
elpis	cpu (openblas, -t 4)	14.722	0.6642	[["0.8000", "64.1400", "64.1400"], ["0.8200", "73.4200", "73.4200"], ["0.8300", "69.3600", "69.3600"], ["0.7800", "66.5200", "66.5200"], ["0.7800", "66.8800", "66.8800"]]
elpis	cpu (openblas, -t 5)	16.394	1.1346	[["0.8100", "57.6600", "57.6600"], ["0.8100", "57.1200", "57.1200"], ["0.7900", "58.8100", "58.8100"], ["0.8100", "64.5500", "64.5500"], ["0.8100", "68.3400", "68.3400"]]
elpis	cpu (openblas, -t 6)	16.36	1.5258	[["0.8200", "52.7100", "52.7100"], ["0.8600", "63.1900", "63.1900"], ["0.8100", "59.6600", "59.6600"], ["0.8000", "62.7800", "62.7800"], ["0.8400", "69.8700", "69.8700"]]
elpis	cpu (openblas, -t 7)	15.788	0.0453	[["0.8000", "63.4500", "63.4500"], ["0.8300", "63.3500", "63.3500"], ["0.8100", "63.2000", "63.2000"], ["0.8200", "63.6100", "63.6100"], ["0.8000", "63.1100", "63.1100"]]
elpis	cpu (openblas, -t 8)	16.964	0.6016	[["0.8500", "60.2100", "60.2100"], ["0.8500", "57.4000", "57.4000"], ["0.8300", "57.5000", "57.5000"], ["0.8500", "62.7200", "62.7200"], ["0.8400", "57.2600", "57.2600"]]
elpis	cpu (openblas, -t 9)	17.938	0.9238	[["0.8400", "53.2700", "53.2700"], ["0.8300", "59.2400", "59.2400"], ["0.8300", "59.5000", "59.5000"], ["0.8200", "52.7000", "52.7000"], ["0.8500", "54.7800", "54.7800"]]
elpis	cpu (openblas, -t 10)	16.774	3.3528	[["0.8300", "52.9200", "52.9200"], ["0.8200", "53.4800", "53.4800"], ["0.8200", "50.7600", "50.7600"], ["0.8000", "94.9000", "94.9000"], ["0.8300", "62.4000", "62.4000"]]
elpis	cpu (openblas, -t 11)	15.894	1.8979	[["0.7800", "77.5900", "77.5900"], ["0.7900", "67.8700", "67.8700"], ["0.8000", "54.4800", "54.4800"], ["0.8000", "58.9400", "58.9400"], ["0.8100", "60.5500", "60.5500"]]
elpis	cpu (openblas, -t 12)	10.638	4.426	[["0.7600", "81.6100", "81.6100"], ["0.7500", "64.0700", "64.0700"], ["0.7600", "206.1200", "206.1200"], ["0.7600", "68.8200", "68.8200"], ["0.7600", "168.1900", "168.1900"]]
sidekick	cpu (-t 1)	1.64	0.0126	[["0.9600", "605.6700", "605.6700"], ["0.9600", "617.2500", "617.2500"], ["0.9600", "604.8700", "604.8700"], ["0.9600", "607.1900", "607.1900"], ["0.9600", "614.4600", "614.4600"]]
sidekick	cpu (-t 2)	3.142	0.0075	[["0.9600", "318.4800", "318.4800"], ["0.9700", "319.2300", "319.2300"], ["0.9700", "317.7900", "317.7900"], ["0.9600", "318.9100", "318.9100"], ["0.9700", "317.5500", "317.5500"]]
sidekick	cpu (-t 3)	4.638	0.0117	[["0.9700", "216.0600", "216.0600"], ["0.9700", "215.5000", "215.5000"], ["0.9700", "215.0600", "215.0600"], ["0.9700", "215.0500", "215.0500"], ["0.9700", "216.4700", "216.4700"]]
sidekick	cpu (-t 4)	5.962	0.0117	[["0.9600", "167.8000", "167.8000"], ["0.9700", "167.2500", "167.2500"], ["0.9700", "168.1500", "168.1500"], ["0.9700", "167.3700", "167.3700"], ["0.9700", "168.0900", "168.0900"]]
sidekick	cpu (-t 5)	0.166	0.0049	[["0.9500", "5916.9400", "5916.9400"], ["0.9500", "5902.6000", "5902.6000"], ["0.9500", "6289.2700", "6289.2700"], ["0.9500", "6303.6100", "6303.6100"], ["0.9500", "5720.2800", "5720.2800"]]
sidekick	cpu (openblas, -t 1)	1.632	0.0117	[["0.9600", "617.3100", "617.3100"], ["0.9600", "608.0200", "608.0200"], ["0.9600", "613.0700", "613.0700"], ["0.9600", "605.4700", "605.4700"], ["0.9500", "617.0000", "617.0000"]]
sidekick	cpu (openblas, -t 2)	3.124	0.0224	[["0.9600", "318.0400", "318.0400"], ["0.9600", "319.6000", "319.6000"], ["0.9700", "317.9800", "317.9800"], ["0.9600", "325.2000", "325.2000"], ["0.9600", "319.1000", "319.1000"]]
sidekick	cpu (openblas, -t 3)	4.652	0.0147	[["0.9600", "215.5200", "215.5200"], ["0.9600", "215.0800", "215.0800"], ["0.9600", "213.6300", "213.6300"], ["0.9600", "215.6200", "215.6200"], ["0.9600", "215.2700", "215.2700"]]
sidekick	cpu (openblas, -t 4)	5.968	0.0293	[["0.9600", "166.4400", "166.4400"], ["0.9700", "168.5900", "168.5900"], ["0.9600", "167.2600", "167.2600"], ["0.9700", "167.1900", "167.1900"], ["0.9700", "168.3500", "168.3500"]]
sidekick	cpu (openblas, -t 5)	0.156	0.015	[["0.9500", "7748.2700", "7748.2700"], ["0.9400", "6641.9400", "6641.9400"], ["0.9600", "6047.6000", "6047.6000"], ["0.9500", "6300.9200", "6300.9200"], ["0.9400", "6043.2700", "6043.2700"]]
apparition	cpu (-t 1)	0.124	0.008	[["2.1000", "8525.7200", "8525.7200"], ["1.8600", "7311.2700", "7311.2700"], ["2.1400", "8528.3200", "8528.3200"], ["2.1500", "8535.6000", "8535.6000"], ["2.1300", "8532.3100", "8532.3100"]]
apparition	cpu (-t 2)	0.246	0.0196	[["2.1300", "4275.5100", "4275.5100"], ["2.1400", "4271.2900", "4271.2900"], ["1.8800", "3663.4800", "3663.4800"], ["2.1300", "4275.4000", "4275.4000"], ["1.8900", "3662.4100", "3662.4100"]]
apparition	cpu (-t 3)	0.35	0.0	[["2.1400", "2853.4900", "2853.4900"], ["1.8800", "2852.6200", "2852.6200"], ["2.1300", "2852.3000", "2852.3000"], ["1.8700", "2849.6300", "2849.6300"], ["2.1500", "2852.8300", "2852.8300"]]
apparition	cpu (-t 4)	0.47	0.0	[["1.9500", "2142.5500", "2142.5500"], ["1.9800", "2143.3500", "2143.3500"], ["1.9200", "2143.0800", "2143.0800"], ["2.1200", "2144.3600", "2144.3600"], ["1.8800", "2142.1500", "2142.1500"]]
apparition	cpu (-t 5)	0.58	0.0	[["2.1500", "1717.3500", "1717.3500"], ["1.8800", "1716.8400", "1716.8400"], ["2.1500", "1717.4100", "1717.4100"], ["2.1600", "1717.9100", "1717.9100"], ["2.1300", "1717.9800", "1717.9800"]]
apparition	cpu (-t 6)	0.7	0.0	[["2.1600", "1433.6100", "1433.6100"], ["1.8900", "1433.3200", "1433.3200"], ["2.1400", "1434.8100", "1434.8100"], ["2.1400", "1433.8100", "1433.8100"], ["1.8700", "1433.8500", "1433.8500"]]
apparition	cpu (-t 7)	0.81	0.0	[["2.1800", "1232.5400", "1232.5400"], ["2.1500", "1231.7500", "1231.7500"], ["2.1300", "1232.6400", "1232.6400"], ["2.1300", "1231.8500", "1231.8500"], ["1.8900", "1231.0000", "1231.0000"]]
apparition	cpu (-t 8)	0.92	0.0	[["2.1200", "1086.4500", "1086.4500"], ["1.9100", "1087.1000", "1087.1000"], ["1.9000", "1085.4900", "1085.4900"], ["2.1300", "1087.4800", "1087.4800"], ["2.1600", "1085.3700", "1085.3700"]]
apparition	cpu (-t 9)	0.152	0.004	[["2.0200", "6388.5500", "6388.5500"], ["2.0100", "6566.8800", "6566.8800"], ["1.9000", "6749.2300", "6749.2300"], ["1.9500", "6602.2200", "6602.2200"], ["1.9900", "6713.5500", "6713.5500"]]
apparition	cpu (openblas, -t 1)	0.132	0.0098	[["1.8600", "7308.6300", "7308.6300"], ["2.1000", "8533.3900", "8533.3900"], ["1.8600", "7312.1800", "7312.1800"], ["2.1100", "8532.5800", "8532.5800"], ["1.8600", "7311.7400", "7311.7400"]]
apparition	cpu (openblas, -t 2)	0.238	0.016	[["2.1300", "4269.2200", "4269.2200"], ["1.8600", "4272.0300", "4272.0300"], ["2.1300", "4268.2600", "4268.2600"], ["1.8600", "4272.9000", "4272.9000"], ["1.8700", "3662.9600", "3662.9600"]]
apparition	cpu (openblas, -t 3)	0.35	0.0	[["1.9200", "2853.3000", "2853.3000"], ["2.1200", "2854.3100", "2854.3100"], ["1.8700", "2849.7300", "2849.7300"], ["1.8600", "2852.4700", "2852.4700"], ["1.8600", "2848.9200", "2848.9200"]]
apparition	cpu (openblas, -t 4)	0.47	0.0	[["1.8600", "2141.9500", "2141.9500"], ["1.8700", "2141.7200", "2141.7200"], ["1.8800", "2142.3100", "2142.3100"], ["1.8500", "2142.2500", "2142.2500"], ["1.8700", "2142.2000", "2142.2000"]]
apparition	cpu (openblas, -t 5)	0.58	0.0	[["1.8800", "1717.2600", "1717.2600"], ["1.8700", "1717.5700", "1717.5700"], ["1.8700", "1716.8900", "1716.8900"], ["2.1000", "1717.6400", "1717.6400"], ["2.1000", "1717.9600", "1717.9600"]]
apparition	cpu (openblas, -t 6)	0.7	0.0	[["1.9600", "1433.4000", "1433.4000"], ["1.8600", "1433.2700", "1433.2700"], ["2.1200", "1434.1000", "1434.1000"], ["1.8500", "1433.2400", "1433.2400"], ["2.1200", "1435.0400", "1435.0400"]]
apparition	cpu (openblas, -t 7)	0.81	0.0	[["1.8700", "1232.6900", "1232.6900"], ["2.1200", "1232.1600", "1232.1600"], ["2.1200", "1232.8700", "1232.8700"], ["2.1200", "1232.1500", "1232.1500"], ["2.1200", "1232.5700", "1232.5700"]]
apparition	cpu (openblas, -t 8)	0.918	0.004	[["1.8600", "1087.4500", "1087.4500"], ["2.0900", "1084.9300", "1084.9300"], ["1.8700", "1097.8400", "1097.8400"], ["2.1200", "1088.2500", "1088.2500"], ["2.1200", "1089.5500", "1089.5500"]]
apparition	cpu (openblas, -t 9)	0.158	0.004	[["1.9500", "6157.8900", "6157.8900"], ["2.0200", "6429.2300", "6429.2300"], ["2.0600", "6440.2200", "6440.2200"], ["2.0100", "6419.5500", "6419.5500"], ["2.0200", "6624.2300", "6624.2300"]]
obstinate-serenity-v2	cpu (-t 1)	2.478	0.0117	[["0.8500", "402.9700", "402.9700"], ["0.8500", "405.9800", "405.9800"], ["0.8500", "401.9000", "401.9000"], ["0.8600", "405.3000", "405.3000"], ["0.8500", "401.2300", "401.2300"]]
obstinate-serenity-v2	cpu (-t 2)	4.85	0.011	[["0.8600", "206.6000", "206.6000"], ["0.8500", "206.2500", "206.2500"], ["0.8600", "205.5200", "205.5200"], ["0.8500", "206.0600", "206.0600"], ["0.8700", "206.7200", "206.7200"]]
obstinate-serenity-v2	cpu (-t 3)	3.96	0.011	[["0.8500", "252.3600", "252.3600"], ["0.8500", "251.0100", "251.0100"], ["0.8500", "253.1200", "253.1200"], ["0.8600", "252.8000", "252.8000"], ["0.8600", "253.2900", "253.2900"]]
obstinate-serenity-v2	cpu (-t 4)	5.228	0.0117	[["0.8500", "190.6800", "190.6800"], ["0.8700", "191.5900", "191.5900"], ["0.8700", "191.0200", "191.0200"], ["0.8500", "191.8300", "191.8300"], ["0.8600", "191.3500", "191.3500"]]
obstinate-serenity-v2	cpu (-t 5)	0.208	0.004	[["0.8600", "4723.9400", "4723.9400"], ["0.8400", "4846.2800", "4846.2800"], ["0.8600", "4812.6100", "4812.6100"], ["0.8500", "4710.6100", "4710.6100"], ["0.8400", "5088.9300", "5088.9300"]]
obstinate-serenity-v2	cpu (openblas, -t 1)	2.454	0.0476	[["0.8500", "402.2300", "402.2300"], ["0.8500", "405.1100", "405.1100"], ["0.8600", "404.4100", "404.4100"], ["0.8600", "402.6100", "402.6100"], ["0.8600", "423.7300", "423.7300"]]
obstinate-serenity-v2	cpu (openblas, -t 2)	4.83	0.0167	[["0.8600", "206.3800", "206.3800"], ["0.8600", "207.8200", "207.8200"], ["0.8600", "206.6600", "206.6600"], ["0.8500", "207.8800", "207.8800"], ["0.8500", "206.5300", "206.5300"]]
obstinate-serenity-v2	cpu (openblas, -t 3)	3.966	0.0136	[["0.8500", "253.6300", "253.6300"], ["0.8600", "251.3600", "251.3600"], ["0.8700", "251.8000", "251.8000"], ["0.8500", "251.6400", "251.6400"], ["0.8700", "251.6800", "251.6800"]]
obstinate-serenity-v2	cpu (openblas, -t 4)	5.234	0.008	[["0.8600", "191.6900", "191.6900"], ["0.8600", "191.1600", "191.1600"], ["0.8500", "190.8800", "190.8800"], ["0.8500", "190.8500", "190.8500"], ["0.8500", "191.0000", "191.0000"]]
